brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220909113656994318967,98,780,31,230,01,002,,005,1,女,37,good
50620220925142506050305593,188,1092,09,210,01,003,003,004,1,男,57,good
50620220905132646968927825,199,1209,31,230,01,004,003,002,1,女,33,good
50620220929155040059264580,0,950,22,834,01,001,,006,1,女,46,good
50620220923150045044577226,90,770,22,830,01,003,006,004,1,女,37,good
50620220905124149968923635,0,950,22,834,01,002,001,006,1,女,58,good
50620220926120034052648909,0,750,22,834,01,005,001,006,1,男,30,good
50620220917105625021821932,199,1209,31,230,01,003,021,004,1,女,59,good
50620220928131727057277665,269,1600,31,230,01,003,005,005,1,男,38,good
50620220927092041055091686,96,650,22,818,01,004,003,003,1,女,51,bad
50620220929183047059389908,0,1200,22,830,01,003,021,006,1,女,43,good
50620220916180853019799498,99,1250,22,826,01,002,008,004,1,女,35,good
50620220930172301061181790,0,1200,22,830,01,003,001,006,1,男,41,good
50620220904162536966259381,0,750,22,834,01,001,001,006,1,女,30,good
50620220907185427984118240,99,580,12,564,01,003,006,006,1,女,40,good
50620220927094337055138070,158,1469,09,210,01,003,,005,1,男,58,good
50620220914123901013059548,0,750,22,834,01,002,021,006,1,男,45,good
50620220919162349032545619,0,1200,22,840,01,002,014,006,1,男,58,good
50620220920140149035606643,199,950,27,931,01,003,012,005,0,男,30,good
50620220901115957954873955,0,405,16,377,01,002,006,006,1,女,40,good
50620220914151406013199126,99,2010,22,816,01,003,008,004,1,女,47,good
50620220922164658041835097,0,950,22,818,01,003,002,003,1,男,61,good
50620220910120636998607878,88,439,09,210,01,002,007,004,1,男,50,good
50620220901193832955318141,0,1400,22,831,01,002,001,005,1,男,51,good
50620220919084739030531784,228,1326,09,210,01,001,001,005,1,女,27,good
50620220923081910042592871,10,1010,10,250,01,003,004,005,1,男,41,good
50620220924185652047778803,79,1600,22,830,01,004,021,006,1,男,42,good
50620220902113757956957926,0,1450,22,830,01,004,006,004,1,男,57,good
50620220929102205058836984,0,950,22,833,01,007,006,003,1,女,34,good
50620220921124027038596568,99,2010,22,838,01,003,005,006,1,男,56,good
50620220926095750052315561,0,950,22,280,01,004,006,005,1,女,37,good
50620220923160903044669875,0,950,22,834,01,002,006,006,1,女,28,good
50620220907121457978061665,188,1750,09,210,01,006,008,006,1,女,32,bad
50620220928122921057274746,79,1600,22,280,01,003,006,004,1,女,53,good
50620220915134040016315205,129,1300,12,560,01,003,006,006,1,女,50,good
50620220909162152994534824,79,1600,22,838,01,002,001,006,1,男,42,good
50620220925134833050302261,79,1600,22,825,01,003,006,004,1,男,54,good
50620220923171313044714327,0,1200,22,834,01,003,001,006,1,男,37,good
50620220922103125041142656,158,1502,09,210,01,005,007,004,1,男,40,good
50620220912170135006580021,0,1660,22,833,01,003,021,006,1,女,38,good
50620220910220338999277142,72,1404,31,230,01,002,006,004,1,男,47,good
50620220908172540990399647,64,1300,22,838,01,003,007,004,1,男,38,good
