vintage_month,mob1,mob2,mob3,mob4,mob5,mob6,mob7,mob8,mob9,mob10,mob11,mob12,mob13,mob14,mob15,mob16,mob17,mob18,mob19,mob20,mob21,mob22,mob23,mob24
Jul-21,0,0,0.0091,0.0138,0.0184,0.0214,0.0251,0.0279,0.0302,0.0322,0.034,0.0357,0.0376,0.0392,0.0403,0.0415,0.0422,0.0426,0.0431,0.0434,0.0435,0.0435,0.0435,0.0436
Aug-21,0,0,0.013,0.0191,0.0236,0.027,0.0303,0.0328,0.0354,0.0376,0.0388,0.0408,0.0419,0.043,0.0447,0.0452,0.0462,0.0467,0.0472,0.0475,0.0476,0.0475,0.0475,0.0476
Sep-21,0,0,0.0219,0.0299,0.0359,0.0415,0.0448,0.0476,0.0493,0.0512,0.0532,0.0555,0.057,0.0581,0.0596,0.0601,0.0609,0.0617,0.0622,0.0625,0.0625,0.0625,0.0624,0.0624
Oct-21,0,0,0.0068,0.0108,0.0141,0.0164,0.0188,0.0212,0.0229,0.0252,0.0268,0.0281,0.0295,0.0307,0.0313,0.032,0.0326,0.0331,0.0335,0.0339,0.0341,0.0341,0.0341,0.0342
Nov-21,0,0,0.0119,0.0175,0.0214,0.0238,0.0262,0.0285,0.0295,0.0313,0.0328,0.0338,0.0349,0.0356,0.0362,0.037,0.0376,0.0379,0.0382,0.0384,0.0388,0.0387,0.0387,0.0388
Dec-21,0,0,0.0147,0.0197,0.0241,0.0267,0.0288,0.0307,0.0336,0.0361,0.0371,0.038,0.0383,0.0396,0.0403,0.0414,0.0414,0.0413,0.0417,0.0422,0.0423,0.0422,0.0421,0.0422
